Filename,Title,Description
gallery-1.jpg,Transformational Leadership and Governance Workshop ,"Transformational Leadership and Governance Workshop, Singapore - NOVEMBER 2025 Facilitator Alan Tan"
gallery-2.jpg,"Transformational Leadership and Governance Workshop, Singapore ","Transformational Leadership and Governance Workshop, Singapore - NOVEMBER 2025 Facilitator Raj Sambwani"
gallery-3.jpg,"Transformational Leadership and Governance Workshop, Singapore","Transformational Leadership and Governance Workshop, Singapore - NOVEMBER 2025"
gallery-4.jpg,"Training on Minutes, Board Paper Writing & Records Management","Training on Minutes, Board Paper Writing & Records Management CATHOLIC CHURCH"
gallery-5.jpg,"Training on Minutes, Board Paper Writing & Records Management","Training on Minutes, Board Paper Writing & Records Management CATHOLIC CHURCH"
gallery-6.jpg,"Transformational Leadership and Governance Workshop, Singapore","Transformational Leadership and Governance Workshop, Singapore - NOVEMBER 2025"
